Wavelength;Intensity
174.456;0.02314517170077934
174.799;0.023440097569230028
175.142;0.02371519915391279
175.485;0.023970936000882685
175.828;0.024207767656194746
176.17;0.024426153665904022
176.513;0.02462655357606557
176.856;0.024809426932734427
177.199;0.024975233281965645
177.542;0.025124432169814272
177.884;0.025257483142335353
178.227;0.025374845745583935
178.57;0.025476979525615066
178.913;0.025564344028483794
179.255;0.02563739880024517
179.598;0.025696603386954234
179.941;0.025742417334666038
180.284;0.025775300189435628
180.626;0.02579571149731805
180.969;0.025804110804368355
181.312;0.025800957656641588
181.654;0.02578671160019279
181.997;0.02576183218107702
182.34;0.02572677894534932
182.682;0.025682011439064734
183.025;0.02562798920827831
183.368;0.025565171799045102
183.71;0.02549401875742015
184.053;0.025414989629458505
184.395;0.025328543961215217
184.738;0.025235141298745326
185.081;0.025135241188103886
185.423;0.02502930317534594
185.766;0.024917786806526527
186.108;0.024801151627700718
186.451;0.024679857184923538
186.793;0.024554363024250046
187.136;0.02442512869173528
187.478;0.024292613733434297
187.821;0.024157277695402143
188.163;0.02401958012369386
188.506;0.023879980564364498
188.848;0.0237389385634691
189.191;0.02359691366706272
189.533;0.023454365421200406
189.876;0.023311753371937194
190.218;0.02316953706532815
190.561;0.023028176047428302
190.903;0.02288812986429271
191.245;0.02274985806197642
191.588;0.022288601107575787
191.93;0.021777253238540385
192.272;0.022485703327465155
192.615;0.022730443629305253
192.957;0.02223759291633914
193.3;0.022259650118036673
193.642;0.022497807491723473
193.984;0.022599211607392505
194.327;0.0224032074596902
194.669;0.02235163538395771
195.011;0.02261919500049677
195.353;0.02280895382477419
195.696;0.02228235459360134
196.038;0.021930041108841527
196.38;0.021937422490856208
196.722;0.022510031185169532
197.065;0.021899510421722234
197.407;0.021419253800911576
197.749;0.021302322379016112
198.091;0.022993170299449563
198.434;0.022504660134262083
198.776;0.02210491586690327
199.118;0.022289911423117717
199.46;0.022649131524267365
199.802;0.022703412117000037
200.144;0.022417986837465098
200.487;0.022782411630582197
200.829;0.022969456139982473
201.171;0.023226497664718435
201.513;0.02289100996581105
201.855;0.022945801420217165
202.197;0.023171660229944872
202.539;0.02317063151248008
202.881;0.022645550109909825
203.223;0.022944150088219123
203.565;0.0230625654385159
203.907;0.02274427312745124
204.249;0.02198138236112693
204.591;0.022589518106069746
204.933;0.022863607424090545
205.275;0.022590422898964818
205.617;0.022000242575572794
205.959;0.022279861113643242
206.301;0.02265465742285047
206.643;0.02264614104253412
206.985;0.022435204780658805
207.327;0.022656726393493455
207.669;0.022938406762276296
208.011;0.022881291287555526
208.353;0.02250459825205795
208.695;0.0225331454665378
209.037;0.023004303482285438
209.379;0.023212259065703726
209.721;0.02278154475138393
210.062;0.02285879834319637
210.404;0.02289513573306245
210.746;0.022346081009260027
211.088;0.0215816913909011
211.43;0.021600140454443598
211.772;0.021889561950648204
212.113;0.02126838623534521
212.455;0.020656064830540194
212.797;0.020583530716979936
213.139;0.02168858061496302
213.48;0.02172840465730952
213.822;0.02131127995934758
214.164;0.021486482447758793
214.506;0.021845395979671552
214.847;0.02149158411165802
215.189;0.021099264546782646
215.531;0.02109219822857436
215.872;0.021096483540128046
216.214;0.020804771617996272
216.556;0.020141917126339382
216.898;0.020735616038872088
217.239;0.021008305433418358
217.581;0.020941404623855246
217.922;0.02056440452557016
218.264;0.02081453108868653
218.606;0.021270710404759127
218.947;0.020830047674515993
219.289;0.02055564005034107
219.63;0.020741287963745417
219.972;0.021165786321502723
220.314;0.02089669225844715
220.655;0.020416470507864732
220.997;0.02051519108851506
221.338;0.021194411179180687
221.68;0.020690908552697146
222.021;0.020112697186027616
222.363;0.020504063968407715
222.704;0.020795516618152377
223.046;0.02038567498190587
223.387;0.020028633262999862
223.729;0.020165460642427153
224.07;0.02036737278554133
224.412;0.020143986441994843
224.753;0.019749286377925723
225.094;0.019958168075112328
225.436;0.020603960697071537
225.777;0.02061656906251499
226.119;0.020629621020054705
226.46;0.020643397944279274
226.801;0.02065674836799218
227.143;0.02067352431405087
227.484;0.0206902183595665
227.825;0.02070661580681804
228.167;0.02072440547672775
228.508;0.020745101911622335
228.849;0.02076704821393306
229.191;0.02078791217090217
229.532;0.02080866428010097
229.873;0.020832616636294092
230.215;0.020857747447451003
230.556;0.020882853641438652
230.897;0.020911126589917624
231.238;0.02093830191855743
231.58;0.020964606441878846
231.921;0.02098838696967419
232.262;0.02101464965133495
232.603;0.02103425752304806
232.944;0.02105273057056894
233.286;0.021071307543799715
233.627;0.02109198390929289
233.968;0.021112027002862306
234.309;0.02113299282893348
234.65;0.02115554884845115
234.991;0.021174842882899662
235.332;0.021195530056085016
235.673;0.021212452437494946
236.015;0.021230506414857686
236.356;0.021246548869521535
236.697;0.02126203611301783
237.038;0.021271717862753916
237.379;0.021280382772785118
237.72;0.02128714933960064
238.061;0.021294601342639188
238.402;0.021298945868642543
238.743;0.021303790287904557
239.084;0.021304647249276696
239.425;0.021303269770931915
239.766;0.021300373998730734
240.107;0.021299473414522943
240.448;0.021298786248187398
240.789;0.021297600241185863
241.13;0.021294702102154194
241.471;0.021291222241786263
241.812;0.021287616167694017
242.153;0.021285389377811128
242.494;0.021277754876479194
242.834;0.02126985868358461
243.175;0.021263522264521138
243.516;0.021255883421194367
243.857;0.02124464802929409
244.198;0.02122742614002018
244.539;0.02121422979796546
244.88;0.021199864197164728
245.22;0.021186832633197063
245.561;0.021174887052913555
245.902;0.021163792141773018
246.243;0.021152105789948448
246.584;0.021140116630837622
246.924;0.021137659346167303
247.265;0.02113522808084056
