Wavelength;Intensity
174.456;0.0680965841228285
174.799;0.06820798066825795
175.142;0.06831390296136598
175.485;0.06841445020567136
175.828;0.06850972160469294
176.17;0.06859981636194952
176.513;0.06868483368095994
176.856;0.068764872765243
177.199;0.06884003281831752
177.542;0.06891041304370232
177.884;0.06897611264491622
178.227;0.06903723082547805
178.57;0.06909386678890662
178.913;0.06914611973872076
179.255;0.06919408887843925
179.598;0.06923787341158096
179.941;0.06927757254166468
180.284;0.06931328547220925
180.626;0.06934511140673344
180.969;0.06937314954875613
181.312;0.0693974991017961
181.654;0.06941825926937219
181.997;0.06943552925500321
182.34;0.06944940826220798
182.682;0.06945999549450531
183.025;0.06946739015541403
183.368;0.06947169144845296
183.71;0.06947299857714091
184.053;0.0694714107449967
184.395;0.06946702715553917
184.738;0.06945994701228711
185.081;0.06945026951875936
185.423;0.06943809387847472
185.766;0.06942351929495204
186.108;0.0694066449717101
186.451;0.06938757011226775
186.793;0.06936639392014377
187.136;0.06934321559885703
187.478;0.06931813435192632
187.821;0.06929124938287046
188.163;0.06926265989520829
188.506;0.06923246509245858
188.848;0.0692007641781402
189.191;0.06916765635577193
189.533;0.06913324082887262
189.876;0.06909761680096108
190.218;0.06906088347555614
190.561;0.06902314005617659
190.903;0.06898448574634128
191.245;0.068945019749569
191.588;0.06866907862125497
191.93;0.06835878122168564
192.272;0.06874135044238237
192.615;0.06888693969622955
192.957;0.06859210617649969
193.3;0.0685182235396111
193.642;0.06864389625123433
193.984;0.06876046884499634
194.327;0.06855052634403513
194.669;0.06842519971970693
195.011;0.06840563793462268
195.353;0.06838516899777056
195.696;0.06836466511000192
196.038;0.06833884427878649
196.38;0.06831630164935307
196.722;0.06828817126159643
197.065;0.06825818654064367
197.407;0.06822138080685179
197.749;0.06819731155357756
198.091;0.06817138977285868
198.434;0.06813850044100256
198.776;0.06810873471179925
199.118;0.06809927702211853
199.46;0.0680867011932651
199.802;0.06808399622114844
200.144;0.0680877609235951
200.487;0.0680892297546645
200.829;0.06809357784884751
201.171;0.06810905297671238
201.513;0.06813846967778163
201.855;0.06814613914757914
202.197;0.06814816226743825
202.539;0.06814681229288352
202.881;0.0681539129670665
203.223;0.06816366551253275
203.565;0.06817477426003589
203.907;0.06818642489872731
204.249;0.06818619631129247
204.591;0.06820177747312127
204.933;0.0681998686436038
205.275;0.06819379211769351
205.617;0.06818453571297939
205.959;0.06818386862144198
206.301;0.06817090956906378
206.643;0.06814067688642403
206.985;0.06810360025378101
207.327;0.06806277919458718
207.669;0.068004279657878
208.011;0.06794279751581529
208.353;0.06786740121266635
208.695;0.06778792056968402
209.037;0.06769252598865044
209.379;0.06760391894496094
209.721;0.06753010874545805
210.062;0.0674675090768442
210.404;0.06740066751398945
210.746;0.06733060370872596
211.088;0.0672734855052538
211.43;0.06721959938347127
211.772;0.06716064471857845
212.113;0.06709987589434586
212.455;0.06704510511837392
212.797;0.06699998927433815
213.139;0.06693915425883029
213.48;0.06688082415722245
213.822;0.06683639969415679
214.164;0.06680469766817243
214.506;0.06677789409234605
214.847;0.06676466437362406
215.189;0.06676670070973921
215.531;0.06677313678008574
215.872;0.06678407296625376
216.214;0.06679924573087753
216.556;0.06681753004162591
216.898;0.06682233117940965
217.239;0.06681852146416359
217.581;0.06681225714285481
217.922;0.06681442435554492
218.264;0.06680757663106661
218.606;0.06678819422863476
218.947;0.06676805324404357
219.289;0.0667488276059968
219.63;0.06673391747231473
219.972;0.0667127575949161
220.314;0.06669420099401752
220.655;0.0666756771147637
220.997;0.06666584946004807
221.338;0.06664853830625798
221.68;0.06663667933217576
222.021;0.06663056052269282
222.363;0.06662011909401071
222.704;0.06660578986835583
223.046;0.06659340496083903
223.387;0.06658446836974019
223.729;0.06656927709663149
224.07;0.06655136550409524
224.412;0.0665231364967385
224.753;0.06649788453870578
225.094;0.06646437784779469
225.436;0.06642821226671594
225.777;0.06640743527502131
226.119;0.06639142838295119
226.46;0.06638008768212629
226.801;0.06636788470193157
227.143;0.06636887151566825
227.484;0.06637179731988103
227.825;0.06638154565784078
228.167;0.06638636457460391
228.508;0.06639920332121407
228.849;0.06640801362182043
229.191;0.06641962051669621
229.532;0.06642847293474928
229.873;0.06643693542559388
230.215;0.0664442734817371
230.556;0.0664670369818044
230.897;0.06649951588164627
231.238;0.06652941884599399
231.58;0.06657862567869721
231.921;0.06663597728464588
232.262;0.0667017683836594
232.603;0.0667692112715778
232.944;0.066836033679037
233.286;0.06689080261293738
233.627;0.06695383222235454
233.968;0.0670160538476077
234.309;0.06707130978547879
234.65;0.06713112813469128
234.991;0.06717926190342127
235.332;0.06721750479163975
235.673;0.0672525917524692
236.015;0.06728643723187516
236.356;0.06730894142716723
236.697;0.06732432177678133
237.038;0.06734262564569829
237.379;0.06736302159494323
237.72;0.0673565301493502
238.061;0.06733972466054022
238.402;0.06733583768158144
238.743;0.06731318182888618
239.084;0.06728864201160877
239.425;0.06725657173798036
239.766;0.06722502743977377
240.107;0.06719771217235418
240.448;0.06716969339129732
240.789;0.06715577644298075
241.13;0.06713852688442877
241.471;0.06712333474131468
241.812;0.06711307987985199
242.153;0.06711207527954668
242.494;0.06713549003344595
242.834;0.06715327831190963
243.175;0.06717602744752468
243.516;0.06715311767655747
243.857;0.0671502092676721
244.198;0.06715081876163984
244.539;0.0671519377404997
244.88;0.0671668873961994
245.22;0.06718874766183927
245.561;0.06721423023748367
245.902;0.06724408748978508
246.243;0.0672775318985313
246.584;0.06730892565012667
246.924;0.06734521682476705
247.265;0.06736068883546577
